,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
0,Army Camouflage,"Plain Front, Plain Back, Full Sleeves, Band Neckline with Slit",Straight Kurta,This grey-blue denim shirt takes its inspiration from military aesthetics with its band collar and camo feel.,"Rs.3,490.00","Rs.2,268.50",Blue,Denim,"XS,S,M,L,XL",
1,Ashen Terrain,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Front Open Shirt,This solid slate-grey linen shirt is minimal and chic with its open front cut.,"Rs.3,990.00","Rs.1,995.00",Light Grey,Lilen,"XS,S,M,L,XL",
2,Blooming Wave,"Embroidered Front, Embroidered Back, Full Sleeves, Round Neckline with Placket",Straight Kurta,"This intricately embroidered cotton candy pink shirt is worked all over in white thread, and features a flattering round neck and beaded details along the hem.","Rs.4,990.00","Rs.3,243.50",Pink,Shifflee,"XS,S,M,L,XL",
3,Blue Rampage,"Printed Front, Printed Back, Full Sleeves, Band Neck with Placket",Straight Shirt with Round Hem,"This versatile short shirt has a classic band collar and a chic rounded hem, and is made from dark lightweight denim.","Rs.2,790.00","Rs.1,813.50",Blue,Denim,"XS,S,M,L,XL",
4,Bohemian Lore,"Embroidered Front, Plain Back, Full Sleeves with Embroidery, V Neckline",Front Slit Shirt,This lush lemon-yellow self-jacquard piece has a flattering V-neckline and features wreaths of contrasting crimson embroidery on the front and sleeves.,"Rs.3,490.00","Rs.2,268.50",Yellow,Self Jacquard,"XXS,XS,S,M,L,XL",
5,Denim Blue,"Plain Front, Plain Back, Full Sleeves, V Neckline with Zip",Straight Shirt with Round Hem,"This fashion-forward kurta is made from blue denim, with a flattering V-neck and a zipper closure.","Rs.3,490.00","Rs.2,268.50",Blue,Denim,"XS,S,M,L,XL",
6,Dream Spark,"Plain Front with Embroidered Neck motif, Plain Back, Full Sleeves, Y Neckline",Straight Kurta,The embroidered motif on the Y-neckline of this candy-pink cotton kurta adds major style points.,"Rs.3,990.00","Rs.2,593.50",Pink,Cotton,"XS,S,M,L,XL",
7,Florence Pink,"Embroidered Front, Embroidered Back, Full Sleeves, V Neckline",Angrakha,This soft peach-pink angrakha has a white tassel tie to complement its embroidered ivory motifs.,"Rs.6,990.00","Rs.4,543.50",Peach,Shifflee,"XS,S,M,L,XL",
8,Gem Stone,"Plain Front with Embroidered Neckline, Plain Back, Full Sleeves with Embroidery, Y Neckline",Straight Kurta,"This organza jacquard confection is a vibrant emerald green, and features darker lacy motifs on the sleeves.","Rs.7,990.00","Rs.5,193.50",Emerald,Organza Jacquard,"XS,S,M,L,XL",
9,Glaucus,"Plain Front, Plain Back, Full Sleeves, Band Neckline with Split",Straight Kurta,This East-meets-West piece combines slate-blue denim with white piping and a split band collar for the perfect fusion look.,"Rs.2,790.00","Rs.1,813.50",Grey,Denim,"XS,S,M,L,XL",
10,Ivory Mahal,"Paste Printed Front, Paste Printed Back, Full Sleeves with Cuff, Band Neck with Placket",Straight Kurta,"The classic ivory and gold combination of this kurta makes it a timeless piece: it features cuffed sleeves, a band collar and golden motifs across the front and back.","Rs.5,490.00","Rs.3,568.50",Ivory,Raw Silk,"XXS,XS,S,M,L,XL",
